grid_id,lat,lng,crime_count,women_crime,children_crime,population,atm_count,market_density,lighting_index,police_patrol,risk_label,area
1,28.683364302657687,77.47548848929584,3,0,0,1734,8,3,0.5525206868967443,3,0,Nehru Nagar
2,28.71462129684992,77.36902580133047,3,0,0,4345,5,4,0.3059328876660754,4,0,Mohan Nagar
3,28.62855290868255,77.48804014854949,1,0,0,3691,8,2,0.2390690731429267,1,0,Raj Nagar
4,28.712864098364516,77.40182036395103,1,0,0,1574,9,0,0.2364787270154807,1,0,Rajendra Nagar
5,28.673647987608668,77.36819418478673,2,0,0,1277,6,3,0.5064625337168734,2,0,Muradnagar
6,28.615567311096274,77.33074296277906,0,0,0,1587,3,0,0.801202608804958,3,0,Indirapuram
7,28.70424705416149,77.48574467420309,1,0,0,4836,2,3,0.5532394578029851,2,0,Nehru Nagar
8,28.609548709250017,77.31105039662745,2,0,0,2278,7,3,0.2250037011239545,2,0,Indirapuram
9,28.6679290341133,77.34957096870313,2,0,0,2240,4,3,0.9060793528745696,0,0,Loni
10,28.639898255753053,77.49007038719333,1,0,0,1530,9,4,0.755160899648843,1,0,Kavi Nagar
11,28.69798812212612,77.45335514154652,2,0,0,2334,7,2,0.5277090903363388,1,0,Nehru Nagar
12,28.74979189071708,77.37526646898257,0,0,0,1491,3,3,0.6620088030875793,4,0,Mohan Nagar
13,28.74030505751686,77.47578580951617,1,0,0,3078,5,0,0.5334425488943906,3,0,Pratap Vihar
14,28.619855157424613,77.4684135728111,1,0,0,3097,1,4,0.6447992074365676,3,0,Raj Nagar
15,28.615642142203217,77.43707210827989,1,0,0,2633,3,0,0.2091756452589477,2,0,Kaushambi
16,28.641670480078677,77.47428601709986,1,0,0,2736,2,3,0.5789451357595568,2,0,Kavi Nagar
17,28.63222301408961,77.44346155788362,11,2,0,806,2,2,0.923584810150818,0,1,Kaushambi
18,28.68115039863575,77.42267564289443,2,0,0,2307,5,4,0.6993772337777422,0,0,Shastri Nagar
19,28.65750870037993,77.42676318896785,5,2,0,3657,9,3,0.786975753179163,3,1,Modinagar
20,28.631471488083093,77.30141815834703,0,0,0,2167,1,2,0.5416902706688501,2,0,Indirapuram
21,28.626384733351152,77.365044848087,1,1,0,1451,7,4,0.9471414590813538,3,0,Vaishali
22,28.749269431273508,77.34857456978179,2,0,0,3935,4,1,0.7848266409128926,3,0,Wave City
23,28.607198164577376,77.40545915718266,0,0,0,4858,3,3,0.321506354050536,3,0,Kaushambi
24,28.632166758265846,77.34016825008405,0,0,0,1422,7,3,0.5023654266613604,2,0,Indirapuram
25,28.67275769764927,77.4227927826139,1,0,0,2109,8,0,0.9759532811239,0,0,Modinagar
26,28.669834807570552,77.32379704714067,2,0,0,3134,6,3,0.2151847064292664,1,0,Loni
27,28.703533372364383,77.42788669271737,2,0,0,2705,8,3,0.7592427877645651,2,0,Shastri Nagar
28,28.73046926772712,77.31131458114614,3,0,0,1845,1,1,0.6730768314613887,0,0,Wave City
29,28.606901447029383,77.45595047620941,3,0,0,4789,2,1,0.3787999046652075,1,0,Raj Nagar
30,28.642652012771723,77.49333084431221,2,0,0,3756,3,2,0.4143289964137601,0,0,Kavi Nagar
31,28.66226699785175,77.35300355164678,8,2,0,2855,1,3,0.2493835306281605,1,1,Muradnagar
32,28.658604811585505,77.39175897862462,0,0,0,1079,9,2,0.3592131670925137,3,0,Muradnagar
33,28.63694372380279,77.3439374380033,2,2,0,670,5,3,0.7728982786449405,4,0,Indirapuram
34,28.6378056605418,77.34803984369917,3,0,0,4531,9,3,0.96146859584067,2,0,Loni
35,28.6763862125122,77.38806459037687,3,0,0,2913,5,1,0.9416803544155792,0,0,Govindpuram
36,28.67965212418645,77.3138948742753,2,0,0,941,4,4,0.9305226388607948,0,0,Crossings Republik
37,28.688603419774548,77.30018614073967,1,0,0,3243,4,3,0.2623060516968475,2,0,Crossings Republik
38,28.71982434228101,77.48736020256483,1,0,0,3356,8,4,0.953460618720873,0,0,Pratap Vihar
39,28.726341691559448,77.44632981285217,1,0,0,4646,2,0,0.5537699840915618,4,0,Rajendra Nagar
40,28.741987772960883,77.35213636896582,1,0,0,1405,3,2,0.6092425625376318,2,0,Mohan Nagar
41,28.634241165001097,77.47791315389372,7,2,0,1919,4,1,0.2178153707380548,0,1,Raj Nagar
42,28.71090831766712,77.41097182872413,1,0,1,1990,2,4,0.4204297814196034,0,0,Shastri Nagar
43,28.707396647622435,77.35911080037744,1,0,0,3446,3,0,0.2343026432071149,2,0,Govindpuram
44,28.642498686299646,77.3096753637925,10,1,0,4311,1,0,0.3368516766309679,1,1,Loni
45,28.618172649099773,77.48538443416682,2,0,0,4832,4,1,0.9550463011720588,1,0,Raj Nagar
46,28.690905631762497,77.31269340779897,1,0,0,3381,8,1,0.7189771187405911,4,0,Crossings Republik
47,28.695782973013003,77.34197688647778,2,0,0,916,1,2,0.9273100259330372,0,0,Crossings Republik
48,28.634227829911367,77.43614058059696,2,0,0,869,7,0,0.3002538325095656,3,0,Kaushambi
49,28.651109174150697,77.47740113093045,2,0,0,832,1,2,0.4041937328129077,2,0,Kavi Nagar
50,28.650339136419813,77.3658288873635,2,0,0,1811,8,0,0.208103188374147,0,0,Muradnagar
51,28.69585015782952,77.46795589457172,0,0,0,749,0,0,0.9674777643283567,4,0,Nehru Nagar
52,28.716224817787477,77.42410204634771,2,0,0,1309,2,0,0.7696712893533812,1,0,Rajendra Nagar
53,28.7050219765402,77.42639706405073,2,0,0,4634,8,1,0.2326149572554474,3,0,Shastri Nagar
54,28.6339583759199,77.39277755712997,1,2,0,2378,5,3,0.6454523709418687,0,0,Vaishali
55,28.610563367097757,77.36418754796085,3,0,0,3594,3,1,0.4407609548531895,1,0,Vaishali
56,28.702892851197543,77.47959891200982,3,0,0,1153,3,1,0.5322092964281058,0,0,Nehru Nagar
57,28.618746075094236,77.31789080312078,2,0,0,3836,5,1,0.8768319859755538,0,0,Indirapuram
58,28.669632973189103,77.30102208353027,8,2,0,516,5,3,0.2597877970307869,3,1,Loni
59,28.62443155905687,77.4240034664306,1,0,0,3601,6,4,0.8394053118095841,3,0,Kaushambi
60,28.63461935798069,77.30465205970276,1,0,0,1965,0,4,0.8935996759072977,2,0,Indirapuram
61,28.65669666416649,77.45224458881214,2,0,0,1173,3,3,0.618733504201685,1,0,Kavi Nagar
62,28.66938895963878,77.35933269924855,0,0,0,2518,7,0,0.7788129507819068,0,0,Muradnagar
63,28.62336978451245,77.46322005462439,2,0,0,2294,6,2,0.8789634127335557,4,0,Raj Nagar
64,28.611753019984043,77.30774791784224,0,0,0,4719,0,1,0.9891960123774244,0,0,Indirapuram
65,28.7206665018502,77.45448201006695,14,1,0,1251,1,2,0.7543431683803543,0,1,Pratap Vihar
66,28.659274382767897,77.49149947923881,0,0,0,4820,6,0,0.9301132943729796,4,0,Kavi Nagar
67,28.64591961378824,77.46557792647741,13,2,0,3023,7,4,0.98839772341277,1,1,Kavi Nagar
68,28.722288735440195,77.30634677607783,12,1,0,1517,9,3,0.8132003893054376,1,1,Wave City
69,28.743288631547685,77.45571853866075,1,0,0,2504,3,3,0.6054068855832453,1,0,Pratap Vihar
70,28.702228836870287,77.38314852935282,0,0,0,2238,5,3,0.9777688167286512,1,0,Govindpuram
71,28.67766013121461,77.47097578610975,3,0,0,2522,3,4,0.8286456286685424,3,0,Nehru Nagar
72,28.64117417083588,77.39867079405799,1,0,0,3498,9,4,0.4105433978423075,4,0,Muradnagar
73,28.74565956396964,77.44029646219836,0,0,0,3111,4,0,0.8557245423178563,3,0,Rajendra Nagar
74,28.680887084420736,77.38511090331566,1,0,0,4571,3,0,0.6487300473704696,0,0,Govindpuram
75,28.648835311871174,77.36359324613977,2,0,0,2919,6,4,0.6344932051408395,2,0,Muradnagar
76,28.74577545060996,77.4916408902925,3,0,0,724,4,0,0.8873188919628485,3,0,Pratap Vihar
77,28.66671551267057,77.35481922003534,3,0,0,4480,1,1,0.8219835374620321,3,0,Muradnagar
78,28.64155204557353,77.45999577067282,12,2,0,4638,1,3,0.8634423861565581,3,1,Kavi Nagar
79,28.69479101230576,77.43900721591585,14,2,0,2114,6,1,0.4300131610853753,0,1,Shastri Nagar
80,28.610098450301876,77.41709112873635,2,0,0,3264,8,0,0.588549724581642,1,0,Kaushambi
81,28.619464775892613,77.32258369548812,1,0,0,2834,7,1,0.3822625934817127,4,0,Indirapuram
82,28.65912870952044,77.49625387502238,1,0,0,2363,6,3,0.3027733267977093,2,0,Kavi Nagar
83,28.638057067315405,77.4320037995389,10,2,0,3363,6,2,0.9716140697401314,4,1,Modinagar
84,28.64034035812019,77.44901047076499,1,0,0,2771,7,0,0.2292329352669824,1,0,Modinagar
85,28.73768283457024,77.3156583004802,12,1,0,2135,9,3,0.4790791765513282,0,1,Wave City
